[1/1118] 15416947b62a540e.msgpack.xz
[1067/1118] 8680af9e56b05175.msgpack.xz
[1068/1118] ae126678b4a65269.msgpack.xz
[1069/1118] d02abcb2b018515d.msgpack.xz
[1070/1118] 790824a2df935497.msgpack.xz
[1071/1118] e42b7a4f6bef538a.msgpack.xz
[1072/1118] a9773766c9ac51b8.msgpack.xz
[1073/1118] 4ed00530dda15620.msgpack.xz
[1074/1118] 1fc135287cce5f74.msgpack.xz
[1075/1118] 28fc8dad42a25713.msgpack.xz
[1076/1118] 346f60e6d90b59bd.msgpack.xz
[1077/1118] 6bd725d8fb4e569f.msgpack.xz
[1078/1118] b3e8728bd5ce5340.msgpack.xz
[1079/1118] 1e5876a1d8045e46.msgpack.xz
[1080/1118] 88eb75d4ebc856d3.msgpack.xz
[1081/1118] 0be4b33676df518b.msgpack.xz
[1082/1118] f545b79ff3d553a0.msgpack.xz
[1083/1118] f75ab608bc2d53c0.msgpack.xz
[1084/1118] d8258821fbf4567e.msgpack.xz
[1085/1118] cd94f6071141524f.msgpack.xz
[1086/1118] a657d9c0c5ac5d86.msgpack.xz
[1087/1118] ef4fd9e246ca563f.msgpack.xz
[1088/1118] 2315ca6fdcf65ce0.msgpack.xz
[1089/1118] 37d66f4b3d735297.msgpack.xz
[1090/1118] 7f16af19af0f555c.msgpack.xz
[1091/1118] 870683ea3c405397.msgpack.xz
[1092/1118] 94486171a0d0586a.msgpack.xz
[1093/1118] aa729da77b7a5900.msgpack.xz
[1094/1118] 23618ef975b35da4.msgpack.xz
[1095/1118] 9ba46464c5d05ba4.msgpack.xz
[1096/1118] a7be49306f3a511e.msgpack.xz
[1097/1118] b4e45738e3f85601.msgpack.xz
[1098/1118] cbff64d4a3275eb2.msgpack.xz
[1099/1118] dc71315766a458aa.msgpack.xz
[1100/1118] e1ee5cc0316a5b9d.msgpack.xz
[1101/1118] b43bd580ef6d5873.msgpack.xz
[1102/1118] b8ae3eb400ba5752.msgpack.xz
[1103/1118] c7468120b03a56e7.msgpack.xz
[1104/1118] 2ddf1d019e4b560e.msgpack.xz
[1105/1118] 6d4ba74aba6d5722.msgpack.xz
[1106/1118] a6177e5e80515a6f.msgpack.xz
[1107/1118] b20f8849949a5781.msgpack.xz
[1108/1118] 71d9e22cea3f5469.msgpack.xz
[1109/1118] d145b19c2d0b541a.msgpack.xz
[1110/1118] 3b8ed6209db55bce.msgpack.xz
[1111/1118] 7a578b7981a1532c.msgpack.xz
[1112/1118] d76bf6cad6775ab9.msgpack.xz
[1113/1118] 157675dfe46d564b.msgpack.xz
[1114/1118] 2965e4c9734152d9.msgpack.xz
[1115/1118] d1a170aad6bd527a.msgpack.xz
[1116/1118] 82317508dea55b9d.msgpack.xz
[1117/1118] 993b14add9b3537a.msgpack.xz
[1118/1118] 88b1d0e3a0f85a97.msgpack.xz

================== 结果摘要 ==================
日志数: 1118 | 相邻帧对数: 165688 | gap 分布: {1: 165688}
[主判据] normalized L2 (米/步 RMS): mean=0.594 P50=0.275 P90=1.385 P95=2.098
[辅助] per-step 距离(米): mean=0.499 P95=1.941
[heading] yaw_mean_err(rad): mean=0.0067 | yaw_max_err(rad): P95=0.1357
[epsilon 候选 normalized L2] {'normalized_l2_p50': 0.275136226977701, 'normalized_l2_p75': 0.6962959630488277, 'normalized_l2_p90': 1.3854933007287134, 'normalized_l2_p95': 2.097921633761258}

输出目录: hzxcode/adjacent_traj_l2_output
